sku_record_id,geo_market,brand_name,category,sub_category,product_portfolio,product_name,product_description,variant_flavor_scent,pack_size,form_factor,upc_or_gtin,retailer_sku_id,retailer,product_url,source_type,confidence,date_collected
CL-CA-COLGATE-0001,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Colgate 2 In 1 Mouthwash Toothpaste Strawberry 100 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,Strawberry,100 mL,Paste / Gel,n.a.,Voila article 163444EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-2-in-1-mouthwash-toothpaste-strawberry-100-ml/163444EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0002,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Colgate 2 in 1 Toothpaste & Mouthwash,Well.ca retailer listing (Canada).,n.a.,n.a.,Paste / Gel,n.a.,Well.ca sku 1717,Well.ca,https://well.ca/products/colgate-2-in-1-toothpaste_1717.html,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0003,Canada,Colgate,Toothbrush,Electric / battery toothbrush,Colgate (core),Colgate Adult Powered Toothbrush Sonic Floss Tip,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,n.a.,Brush,n.a.,Voila article 655670EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-adult-powered-toothbrush-sonic-floss-tip/655670EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0004,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Advance Oxygen White Toothpaste 73 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,73 mL,Paste / Gel,n.a.,Voila article 2986EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-advance-oxygen-white-toothpaste-73-ml/2986EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0005,Canada,Colgate,Floss & Interdental,Floss / picks,Colgate (core),Colgate Dental Floss Mint 50M 1 Pack,Voila.ca (Sobeys/Safeway Canada) retailer listing.,Mint,1 ct,Floss / Pick,n.a.,Voila article 237021EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-dental-floss-mint-50m-1-pack/237021EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0006,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Elixir Fresh Boost Toothpaste Cool Mint Wintergreen 80 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,Wintergreen,80 mL,Paste / Gel,n.a.,Voila article 902047EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-elixir-fresh-boost-toothpaste-cool-mint-wintergreen-80-ml/902047EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0007,Canada,Colgate,Toothpaste,Toothpaste,Colgate (core),Colgate Fresh Stripe Toothpaste 120 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,n.a.,120 mL,Paste / Gel,n.a.,Voila article 949771EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-fresh-stripe-toothpaste-120-ml/949771EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0008,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Colgate Hello Mouthwash Naturally Fresh Mint 473 Ml,Voila.ca (Sobeys/Safeway Canada) retailer listing.,Fresh Mint,473 mL,Liquid Rinse,n.a.,Voila article 902161EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-hello-mouthwash-naturally-fresh-mint-473-ml/902161EA,Retailer listing,High,2026-08-31
CL-CA-COLGATE-0009,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Colgate Liquid Gel 2-in-1 Whitening Toothpaste and Mouthwash,"Colgate 2-in-1 Whitening is a liquid gel that offers a refreshing combination of the cleaning power of toothpaste and the breath freshening power of mouthwash in one simple step. This product packs powerful flavours into a convenient and easy to store package. For more information about this product, please visit http://www.colgate.ca.",n.a.,n.a.,Paste / Gel,058000003712,n.a.,Colgate.com/en-ca (brand site),https://www.colgate.com/en-ca/products/toothpaste/colgate-2in1,Brand site,Medium,2026-08-31
CL-CA-COLGATE-0010,Canada,Colgate,Mouthwash & Rinse,Mouthwash / rinse,Colgate (core),Colgate Mouthwash Daily Repair Fresh Mint 1 L,Voila.ca (Sobeys/Safeway Canada) retailer listing.,Fresh Mint,1 L,Liquid Rinse,n.a.,Voila article 629874EA,Voila.ca (Sobeys/Safeway Canada),https://voila.ca/products/colgate-mouthwash-daily-repair-fresh-mint-1-l/629874EA,Retailer listing,High,2026-08-31
